Principio attivo;Confezione di riferimento;ATC;AIC;Farmaco;Confezione;Ditta;Prezzo riferimento SSN;Prezzo Pubblico 16 febbraio 2026;Differenza;Nota;Codice gruppo equivalenza
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;44155024;ACARBOSIO DOC GENERICI;"""100 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PE/PVDC-AL";DOC GENERICI S.R.L.;5,63 €;5,63 €;0,00 €;;H1A
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;39716182;ACARBOSIO TECNIGEN;"""100 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PCTFE/PVC/AL";TECNIMEDE SOCIEDADE TECNICO-MEDICINAL S.A.;5,63 €;5,63 €;0,00 €;;H1A
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;38835144;ACARPHAGE;"""100 MG COMPRESSE"" 40 COMPRESSE IN BLISTER AL/AL";BRUNO FARMACEUTICI S.P.A.;5,63 €;5,63 €;0,00 €;;H1A
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;26851016;GLUCOBAY;"""100 MG COMPRESSE"" 40 COMPRESSE";BAYER S.P.A.;5,63 €;8,04 €;2,41 €;;H1A
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;47612027;ACARBOSIO AUROBINDO;"""50 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";AUROBINDO PHARMA ITALIA S.R.L.;5,63 €;5,63 €;0,00 €;;H1B
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;44155012;ACARBOSIO DOC GENERICI;"""50 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PE/PVDC-AL";DOC GENERICI S.R.L.;5,63 €;5,63 €;0,00 €;;H1B
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;39716170;ACARBOSIO TECNIGEN;"""50 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PCTFE/PVC/AL";TECNIMEDE SOCIEDADE TECNICO-MEDICINAL S.A.;5,63 €;5,63 €;0,00 €;;H1B
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;38835043;ACARPHAGE;"""50 MG COMPRESSE"" 40 COMPRESSE IN BLISTER AL/AL";BRUNO FARMACEUTICI S.P.A.;5,63 €;5,63 €;0,00 €;;H1B
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;45430016;GLUCOBAY;"""50 MG COMPRESSE"" 40 COMPRESSE";GMM FARMA S.R.L.;5,63 €;7,49 €;1,86 €;;H1B
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;26851028;GLUCOBAY;"""50 MG COMPRESSE"" 40 COMPRESSE";BAYER S.P.A.;5,63 €;8,04 €;2,41 €;;H1B
